Rep,Plot,Clone,First Rust Rating,Canker
3,783,10X-405-025,14,0
3,784,10X-400-068,17,1
3,785,10X-405-015,10,0
3,786,10X-218-007,0,0
3,787,06X-330-026 ,0,0
3,788,05X-287-189,0,0
3,789,10X-405-004,4,1
3,790,05X-287-218,0,0
3,791,10X-405-026,0,0
3,792,10X-239-025,0,0
3,793,10X-218-006,0,0
3,794,SX64,0,0
3,795,10X-400-021,10,0
3,796,10X-239-026,0,0
3,797,10X-400-003,7,1
3,798,99201-007,0,0
3,799,10X-400-043,14,1
3,800,10X-400-060,6,1
3,801,07X-357-087,0,0
3,802,10X-405-010,40,1
3,803,10X-218-011,0,0
3,804,10X-218-019,0,0
3,805,01-200-007,0,0
3,806,05X-287-145,0,0
3,807,10X-400-072,14,0
3,808,Charlie,0,0
3,809,10X-400-052,9,1
3,810,10X-400-038,20,0
3,811,05X-293-047,3,0
3,812,10X-239-012,0,0
3,813,10X-405-013,0,0
3,814,10X-218-020,0,0
3,815,10X-400-023,13,0
3,816,01-200-009,0,0
3,817,10X-400-094,35,1
3,818,10X-400-002,10,1
3,819,10X-239-029,2,0
3,820,01-200-004,0,0
3,821,10X-400-051,30,1
3,822,10X-400-005,27,1
3,823,Nimrod,0,0
3,824,10X-400-067,17,1
3,825,10X-400-093,12,0
3,826,10X-405-019,15,1
3,827,10X-239-008,0,0
3,828,10X-405-031,0,1
3,829,10X-218-003,0,0
3,830,10X-400-035,5,1
3,831,10X-400-069,3,1
3,832,10X-218-009,0,0
3,833,10X-400-047,4,0
3,834,10X-405-030,0,0
3,835,10X-400-073,0,0
3,836,05X-287-013,0,0
3,837,06X-330-020 ,0,0
3,838,10X-405-021,10,0
3,839,10X-400-099,4,1
3,840,07X-357-089,0,0
3,841,10X-400-075,0,1
3,842,10X-400-083,3,0
3,843,10X-400-092,3,0
3,844,10X-400-088,5,0
3,845,10X-400-010,5,1
3,846,10X-400-004,16,0
3,847,95026,0,0
3,848,07X-356-055,0,0
3,849,04-BN-041,0,0
3,850,10X-400-039,20,0
3,851,10X-400-040,14,1
3,852,07X-357-085,0,0
4,853,10X-218-006,0,0
4,854,10X-400-042,2,1
4,855,India,Dead ,0
4,856,10X-400-007,2,1
4,857,10X-400-015,6,1
4,858,01X-266-016 ,0,0
4,859,10X-239-021,3,0
4,860,95026,0,0
4,861,10X-400-078,3,1
4,862,05X-287-168,0,0
4,863,10X-239-003,0,0
4,864,10X-405-017,0,0
4,865,10X-405-015,2,0
4,866,10X-239-008,0,0
4,867,10X-239-015,0,0
4,868,10X-400-092,0,0
4,869,06X-330-046 ,0,0
4,870,10X-400-012,2,1
4,871,01X-265-019,0,0
4,872,10X-405-008,7,0
4,873,10X-400-093,22,0
4,874,10X-405-014,9,1
4,875,10X-239-017,0,0
4,876,P63,3,0
4,877,06X-330-026 ,0,0
4,878,10X-405-020,7,1
4,879,10X-405-004,2,0
4,880,10X-400-024,10,1
4,881,05X-287-212,0,0
4,882,10X-400-055,0,1
4,883,10X-218-003,0,0
4,884,10X-400-044,4,1
4,885,07X-356-034,0,0
4,886,05X-287-028,0,0
4,887,10X-218-014,0,0
4,888,10X-400-010,11,1
4,889,10X-400-029,33,1
4,890,10X-218-010,0,0
4,891,10X-400-016,Dead ,0
4,892,10X-400-048,22,1
4,893,10X-400-047,14,1
4,894,10X-400-073,10,1
4,895,10X-400-102,3,0
4,896,01-200-002,0,0
4,897,99201-007,0,0
4,898,10X-400-013,20,1
4,899,10X-239-032,14,0
4,900,06X-330-021 ,0,0
4,901,10X-400-098,16,1
4,902,10X-218-007,0,0
4,903,10X-218-012,0,0
4,904,10X-239-028,10,0
4,905,10X-405-013,0,0
4,906,05X-287-145,0,0
4,907,05X-287-160,0,0
4,908,07X-357-106,0,0
4,909,01-200-007,0,0
4,910,10X-400-071,Dead ,0
4,911,Dimitrios,4,0
4,912,10X-400-100,13,0
4,913,01X-268-015 ,0,0
4,914,10X-400-061,Dead ,0
4,915,10X-405-019,5,1
4,916,07X-356-022,0,0
